Rank,Country / territory,Population 2015 (UN Estimate),Area (km²)[1],Population density,,,,,,,,,
115, Eritrea,5223994,117600,0,,,,,,,,,
116, Singapore,5076700,721.5,0,,,,,,,,,
117, Norway,4858199,385203,0,,,,,,,,,
118, Costa Rica,4563539,51100,0,,,,,,,,,
119, Central African Republic,4505945,622984,0,,,,,,,,,
120, Ireland,4467854,70273,0,,,,,,,,,
121, Georgia,4436391,69700,0,,,,,,,,,
122, Croatia,4425747,56594,0,,,,,,,,,
123, New Zealand,4367800,268021,0,,,,,,,,,
124, Liberia,4101767,111369,0,,,,,,,,,
125, Palestine,4048403,6020,0,,,,,,,,,
126, Bosnia and Herzegovina,3844046,51129,0,,,,,,,,,
127, Lebanon,3785655,10452,0,,,,,,,,,
128, Republic of the Congo,3758678,342000,0,,,,,,,,,
129, Puerto Rico,3721978,9104,0,,,,,,,,,
130, Kuwait,3566437,17818,0,,,,,,,,,
131, Moldova,3563695,33846,0,,,,,,,,,
132, Panama,3504483,75417,0,,,,,,,,,
133, Uruguay,3356584,176215,0,,,,,,,,,
134, Lithuania,3329039,65300,0,,,,,,,,,
135, Armenia,3249482,29743,0,,,,,,,,,
136, Mauritania,3217383,1030000,0,,,,,,,,,
137, Albania,3195000,28748,0,,,,,,,,,
138, Mongolia,2780800,1566000,0,,,,,,,,,
139, Oman,2773479,309500,0,,,,,,,,,
140, Jamaica,2701200,10991,0,,,,,,,,,
141, Latvia,2248374,64589,0,,,,,,,,,
142, Namibia,2212037,825615,0,,,,,,,,,
143, Kosovo,2208107,10908,0,,,,,,,,,
144, Macedonia,2052722,25713,0,,,,,,,,,
145, Slovenia,2046976,20273,0,,,,,,,,,
146, Botswana,2029307,581730,0,,,,,,,,,
147, Lesotho,1891830,30355,0,,,,,,,,,
148, Gambia,1750732,10689,0,,,,,,,,,
149, Qatar,1699435,11581,0,,,,,,,,,
150, Guinea-Bissau,1647380,36125,0,,,,,,,,,
151, Gabon,1501266,267667,0,,,,,,,,,
152, Estonia,1340127,45227,0,,,,,,,,,
153, Trinidad and Tobago,1317714,5131,0,,,,,,,,,
154, Equatorial Guinea,1313000,28050,0,,,,,,,,,
155, Mauritius,1283415,2040,0,,,,,,,,,
156, Bahrain,1234571,765.3,0,,,,,,,,,
157, Timor-Leste,1149028,,0,,,,,,,,,
158, Cyprus,1102677,,0,,,,,,,,,
159, Swaziland,1055506,,0,,,,,,,,,
160, Djibouti,879053,,0,,,,,,,,,
161, Fiji,850700,,0,,,,,,,,,
162, Réunion,828054,,0,,,,,,,,,
163, Guyana,761442,,0,,,,,,,,,
164, Bhutan,695822,,0,,,,,,,,,
165, Comoros,675000,,0,,,,,,,,,
166, Montenegro,616411,,0,,,,,,,,,
167, Macau,552300,,0,,,,,,,,,
168, Suriname,531170,,0,,,,,,,,,
169, Solomon Islands,530669,,0,,,,,,,,,
170, Western Sahara,530000,,0,,,,,,,,,
171, Cape Verde,512582,,0,,,,,,,,,
172, Luxembourg,502066,,0,,,,,,,,,
173, Brunei,414400,,0,,,,,,,,,
174, Malta,414372,,0,,,,,,,,,
175, Guadeloupe,404394,,0,,,,,,,,,
176, Martinique,399637,,0,,,,,,,,,
177, Bahamas,353658,,0,,,,,,,,,
178, Maldives,319738,,0,,,,,,,,,
179, Iceland,317630,,0,,,,,,,,,
180, Belize,312971,,0,,,,,,,,,
181, Barbados,276300,,0,,,,,,,,,
182, French Polynesia,267000,,0,,,,,,,,,
183, New Caledonia,248000,,0,,,,,,,,,
184, Vanuatu,245036,,0,,,,,,,,,
185, French Guiana,232223,,0,,,,,,,,,
186, Mayotte,202000,,0,,,,,,,,,
187, Samoa,183123,,0,,,,,,,,,
188, Guam,180865,,0,,,,,,,,,
189, Saint Lucia,174000,,0,,,,,,,,,
190, São Tomé and Príncipe,165397,,0,,,,,,,,,
191, Curacao,142180,,0,,,,,,,,,
